,task,company,details,location,salary,begin
70,Female Lead Actor Required For An Upcoming Project,talent track,Female lead actor for an upcoming proj...,Delhi NCR,,12/08/21
71,Female Artist Required As Mother For A Video Shoot,talent track,Mumbai and Pune based female artist as...,Mumbai,,12/08/21
72,Male Child Actor Required For A Promo Shoot,talent track,Artists should be cute and having good acting skil...,Bhopal,,12/08/21
73,Female Models Required For Brand Promotion,talent track,beautiful female models for brand prom...,Delhi NCR,,26/08/21
74,Casting For Non-Indian Face(Male) For An Ad Shoot,talent track, non-Indian face (male) for an Ad shoo...,Delhi NCR,,26/08/21
75,Female Artists Required For A Web-Series For A Known OTT Platform,talent track,female artist for a web series for a k...,Mumbai,,24/08/21
76,Female Artist Required As Doctor For A Project,talent track,Mumbai based female artists to play do...,Mumbai,,24/08/21
77,Female Artists Required For A Beauty Product Shoot,talent track,female artists for a beauty product sh...,Mumbai,,24/08/21
78,Female Artists Required For A Known Apparel Brand Shoot,talent track,female artists for a known apparel bra...,Mumbai,,24/08/21
79,Male/Female Child Artist Required For A Digital Promo Shoot,talent track,male/female child artist for a digital...,Mumbai,,24/08/21
80,Female Artist Required For A Horror Movie,talent track,female artist for a horror movie. Arti...,Mumbai,,24/08/21
81,Female Actor Required For A Crime Based TV Show,talent track,female actor for a crime based show. A...,Mumbai,,24/08/21
82,Male Lead Actor Required For An Upcoming TV Serial On A Leading Channel,talent track,male lead actor for an upcoming TV ser...,Mumbai,,23/08/21
83,Female Lead Actor Required For A Crime Based TV Show,talent track,female lead actor for a crime based TV...,Mumbai,,23/08/21
84,Male/Female Actors Required For Digital Ad Film,talent track,male/female actors for a digital Ad fi...,Mumbai,,20/08/21
85,Female Actor In Lead Required For A Movie Shoot,talent track,Our production house is searching for a good looki...,Chennai,,19/08/21
86,Female Artists Required For Big Brand Digital Ad Shoot,talent track,Bangalore based female artists for a b...,Mumbai,,19/08/21
87,Female Artists Required For A Car Brand Print Shoot,talent track,female artists for a car brand  print ...,Mumbai,,19/08/21
88,Male/Female Junior Artists Required For A Project,talent track,male/female junior artists for a proje...,Mumbai,,19/08/21
89,Female Artist Required For A Product Ad Shoot,talent track,female artist for a product Ad shoot. ...,Delhi NCR,,19/08/21
90,Female Lead Actor Required For A Punjabi TV Show,talent track,female lead actor for a Punjabi TV sho...,Mumbai,,19/08/21
91,Female Actor Required For An Upcoming Short Film,talent track,female actor for an upcoming coming sh...,Mumbai,,19/08/21
92,Female Artists Required For A Digital Ad Shoot,talent track,female artists for a digital Ad shoot....,Mumbai,,18/08/21
93,Female Models Required For Various Print Shoots,talent track,female models for various print shoots...,Delhi NCR,,18/08/21
94,Female Lead Actor Required For ATV Show On A Leading TV Channel,talent track,female lead actor for a TV show on a l...,Mumbai,,18/08/21
95,Female Artists Required As Report For A Big Hindi Film,talent track,female artists to play reporter in a H...,Mumbai,,18/08/21
96,Female Actors Required For Hindi Film And Web-Series,talent track,female actors for Hindi film and web s...,Mumbai,,17/08/21
97,Female Models Required For E-Commerce Shoot,talent track,female models for E-Commerce shoot. Ar...,Mumbai,,17/08/21
98,Female Lead Actor Required For An Upcoming Web-Series On A Leading OTT PLatform,talent track,female lead actor for an upcoming web ...,Mumbai,,17/08/21
99,Female Lead Actor Required For An Episodic TV Show,talent track,female lead actor for an episodic TV s...,Mumbai,,17/08/21
100,Male Artist As Friend Required For An Upcoming Film,talent track,male artists to play friend's characte...,Mumbai,,17/08/21
101,Female Actor Required Required For A Crime Based TV Show,talent track,female actor for a crime based TV show...,Mumbai,,16/08/21
102,Casting Call For Female Models For Calendar Shoot,talent track,female models for a calendar shoot. Ar...,Mumbai,,13/08/21
103,Female Lead Actor Required For An Upcoming Project,talent track,Female lead actor for an upcoming proj...,Delhi NCR,,12/08/21
104,Female Artist Required As Mother For A Video Shoot,talent track,Mumbai and Pune based female artist as...,Mumbai,,12/08/21
105,Male Child Actor Required For A Promo Shoot,talent track,Artists should be cute and having good acting skil...,Bhopal,,12/08/21
106,Female Lead Actor Required For An Upcoming Web-Series,talent track,female lead actor for an upcoming web ...,Delhi NCR,,12/08/21
107,Female Models Required For Indian Wear Shoot,talent track,female models for Indian wear shoot. A...,Delhi NCR,,12/08/21
108,Male Child Actor Required For A Feature Film For A Known Production House,talent track,male child actors for a known producti...,Mumbai,,12/08/21
109,Female Artists Required For A Digital Ad Shoot,talent track,female artists for a digital Ad shoot....,Delhi NCR,,10/08/21
110,Female Lead Actor Required For An Upcoming TV Show,talent track,Artists should be beautiful with upmarket features...,Mumbai,,10/08/21
111,Male Actor Required As Father For TVC Shoot,talent track,male actor as father for TVC shoot. Ar...,Mumbai,,10/08/21
112,Casting Call For Male Actor For An Upcoming Web-Series,talent track,male actors to play Businessman charac...,Mumbai,,10/08/21
113,Female Model/Actor Required For International Brand Endorsement And TVC Shoot,talent track,female model/actor for international b...,Mumbai,,19/08/21
114,Female Model Required For Beauty Photo Shoot,talent track,good looking female models for beauty ...,Mumbai,,19/08/21
115,Female Models Required For Travel Vlogs,talent track,"Need a beautiful, energetic, dynamic, explorers mi...",Kolkata,,19/08/21
116,Mumbai Based Male Model Required For Print Shoot,talent track,Mumbai based male model for print shoo...,Mumbai,,18/08/21
117,Male Models Required For A Shoot In Delhi,talent track,male models for a shoot in Delhi. Age-...,Delhi NCR,,18/08/21
118,Female Models Required For Video Songs,talent track,fresher/experienced female models for ...,Delhi NCR,,16/08/21
119,Foreigner Female Artists Required For Print Shoot,talent track,Delhi based foreigner female artists f...,Delhi NCR,,13/08/21
120,Casting Call For Female Actors For A Web-Series,talent track,female model for a web series. Artist ...,Mumbai,,12/08/21
121,R K Studios Casting For Female Lead For Web Series,talent track,fresher/experienced female actors in l...,Delhi NCR,,27/11/20
122,Male And Female Singers Required For Upcoming Hindi Music Album Video,talent track,male and female singers for an upcomin...,Rajkot,,07/03/21
